,Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Number of Presenters,Pitchers Average Age,Pitchers State,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Aman_deal,Namita_deal,Vineeta_deal,Anupam_deal,peyush_deal,Ritesh_deal,Amit_deal,deal_amount_per_shark,equity_per_shark,Boot Strapped
152,2,Hoovu,1,153,02-Jan-23,10-Mar-23,02-Jan-23,Entrepreneurship Ki Leher Ek Baar Firse,Rahul Dua,Business Services,2,Young,Karnataka,80.0,1.0,8000.0,1,1.0,100.0,2.0,5000.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,1,0,0,0,1,0,0,50.0,1.0,0
153,2,Dorji,1,154,02-Jan-23,10-Mar-23,02-Jan-23,Entrepreneurship Ki Leher Ek Baar Firse,Rahul Dua,Food and Beverage,2,Young,West Bengal,30.0,5.0,600.0,1,1.0,30.0,15.0,200.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,1,1,1,0,0,10.0,5.0,0
154,2,Recode,1,155,02-Jan-23,10-Mar-23,02-Jan-23,Entrepreneurship Ki Leher Ek Baar Firse,Rahul Dua,Beauty/Fashion,2,Middle,Punjab,100.0,1.0,10000.0,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,,,0
155,2,VeryMuchIndian,2,156,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Beauty/Fashion,2,Middle,Maharashtra,50.0,3.0,1667.0,1,1.0,50.0,10.0,500.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,1,1,0,0,0,0,0,25.0,5.0,0
156,2,WatchoutWearables,2,157,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Electronics,2,Young,Maharashtra,200.0,5.0,4000.0,1,1.0,100.0,10.0,1000.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,1,1,0,0,0,50.0,5.0,0
157,2,SoupX,2,158,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Food and Beverage,2,Young,Delhi,75.0,6.0,1250.0,1,1.0,50.0,18.0,277.7777778,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,1,0,0,0,0,50.0,18.0,0
158,2,ATMOSPHERE,3,159,02-Jan-23,10-Mar-23,04-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Food and Beverage,2,Young,Delhi,75.0,3.0,2500.0,1,0.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,,,0
159,2,Stage,3,160,02-Jan-23,10-Mar-23,04-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Entertainment,3,Young,"Haryana,Madhya Pradesh",300.0,1.0,30000.0,1,1.0,150.0,0.6,25000.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,1,1,0,0,1,0,0,50.0,0.19999999999999998,0
160,2,Girgit,3,161,02-Jan-23,10-Mar-23,04-Jan-23,Thrilling and Thunderous Pitches,Rahul Dua,Beauty/Fashion,2,Young,Maharashtra,20.0,10.0,200.0,1,1.0,20.0,20.0,100.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,0,1,0,0,0,0,0,20.0,20.0,0
161,2,GearHeadMotors,4,162,02-Jan-23,10-Mar-23,05-Jan-23,Ideas Meets Opportunity,Rahul Dua,Vehicles/Electrical Vehicles,2,Young,Telangana,75.0,2.0,3750.0,1,1.0,100.0,6.67,1499.250375,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,1,0,0,0,1,0,0,50.0,3.335,0
