,Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Number of Presenters,Pitchers Average Age,Pitchers State,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Aman_deal,Namita_deal,Vineeta_deal,Anupam_deal,peyush_deal,Ritesh_deal,Amit_deal,deal_amount_per_shark,equity_per_shark,Boot Strapped
321,3,HonestHome,1,322,22-Jan-24,31-Mar-24,22-Jan-24,Bigger Better and Smarter,Rahul Dua,Lifestyle/Home,1,Middle,Uttar Pradesh,100.0,2.0,5000.0,1,1.0,100.0,3.0,3333.333333,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,0,0,0,0,0,0,1,100.0,3.0,0
322,3,AdilQadri,1,323,22-Jan-24,31-Mar-24,22-Jan-24,Bigger Better and Smarter,Rahul Dua,Beauty/Fashion,1,Young,Gujarat,100.0,0.5,20000.0,1,1.0,100.0,1.0,10000.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,0,0,1,0,0,0,0,100.0,1.0,0
323,3,ConsciousChemist,1,324,22-Jan-24,31-Mar-24,22-Jan-24,Bigger Better and Smarter,Rahul Dua,Beauty/Fashion,2,Middle,Rajasthan,60.0,2.0,3000.0,0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,0,0,0,0,0,0,0,,,0
324,3,TheCinnamonKitchen,2,325,22-Jan-24,31-Mar-24,23-Jan-24,An Entrepreneurial Showcase,Rahul Dua,Food and Beverage,1,Middle,Punjab,60.0,2.0,3000.0,1,1.0,60.0,5.0,1200.0,1.0,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,1,0,0,0,0,0,0,60.0,5.0,0
325,3,WtfGyms,2,326,22-Jan-24,31-Mar-24,23-Jan-24,An Entrepreneurial Showcase,Rahul Dua,Business Services,2,Middle,Uttar Pradesh,100.0,2.0,5000.0,0,,,,,,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,0,0,0,0,0,0,0,,,0
326,3,Intervue,2,327,22-Jan-24,31-Mar-24,23-Jan-24,An Entrepreneurial Showcase,Rahul Dua,Technology/Software,2,Young,"Punjab,Uttar Pradesh",150.0,1.0,15000.0,1,1.0,150.0,2.0,7500.0,1.0,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,1,0,0,0,0,0,0,150.0,2.0,0
327,3,RodBez,3,328,22-Jan-24,31-Mar-24,24-Jan-24,Quest For Investment,Rahul Dua,Vehicles/Electrical Vehicles,2,Middle,Bihar,50.0,5.0,1000.0,1,1.0,20.0,5.0,400.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,0,0,1,0,0,1,0,10.0,2.5,0
328,3,Blix,3,329,22-Jan-24,31-Mar-24,24-Jan-24,Quest For Investment,Rahul Dua,Technology/Software,1,Middle,Maharashtra,80.0,2.0,4000.0,1,1.0,80.0,4.0,2000.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,1,0,0,0,0,1,0,40.0,2.0,0
329,3,Homversity,3,330,22-Jan-24,31-Mar-24,24-Jan-24,Quest For Investment,Rahul Dua,Technology/Software,1,Young,Gujarat,65.0,2.0,3250.0,0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,0,0,0,0,0,0,0,,,0
330,3,TURMS,4,331,22-Jan-24,31-Mar-24,25-Jan-24,Smart Solutions For A Smarter India,Rahul Dua,Beauty/Fashion,1,Old,Karnataka,120.0,2.0,6000.0,1,1.0,120.0,4.0,3000.0,1.0,Azhar Iqubal,Azhar Iqubal,,1.0,1.0,1.0,1.0,,,1.0,0,0,0,0,0,0,0,120.0,4.0,0
331,3,mintree,4,332,22-Jan-24,31-Mar-24,25-Jan-24,Smart Solutions For A Smarter India,Rahul Dua,Beauty/Fashion,1,Middle,Maharashtra,90.0,1.0,9000.0,1,1.0,90.0,1.5,6000.0,2.0,Azhar Iqubal,Azhar Iqubal,,1.0,1.0,1.0,1.0,,,1.0,0,0,0,0,1,0,0,45.0,0.75,0
332,3,80Wash,4,333,22-Jan-24,31-Mar-24,25-Jan-24,Smart Solutions For A Smarter India,Rahul Dua,Manufacturing,3,Middle,Punjab,100.0,2.5,4000.0,0,,,,,,,Azhar Iqubal,,1.0,1.0,1.0,1.0,,,1.0,0,0,0,0,0,0,0,,,0
333,3,DilFoods,5,334,22-Jan-24,31-Mar-24,26-Jan-24,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Food and Beverage,1,Middle,Jharkhand,50.0,0.5,10000.0,1,1.0,200.0,2.67,7490.636704,4.0,Radhika Gupta,Radhika Gupta,,1.0,,1.0,1.0,1.0,,1.0,0,0,1,0,1,1,0,50.0,0.6675,0
334,3,AIKavach/Panoplia,5,335,22-Jan-24,31-Mar-24,26-Jan-24,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Technology/Software,1,Middle,Telangana,50.0,1.25,4000.0,1,1.0,100.0,2.5,4000.0,2.0,,Radhika Gupta,,1.0,,1.0,1.0,1.0,,1.0,1,0,0,0,1,0,0,50.0,1.25,0
335,3,Bartisans,5,336,22-Jan-24,31-Mar-24,26-Jan-24,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Liquor/Alcohol,2,Middle,Maharashtra,100.0,2.5,4000.0,1,0.0,,,,,,Radhika Gupta,,1.0,,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,0,,,0
336,3,Aretto,6,337,22-Jan-24,31-Mar-24,29-Jan-24,Nurturing The Spirit Of Entrepreneurship,Rahul Dua,Manufacturing,1,Middle,Maharashtra,80.0,1.0,8000.0,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,,,0
337,3,Kalakaram,6,338,22-Jan-24,31-Mar-24,29-Jan-24,Nurturing The Spirit Of Entrepreneurship,Rahul Dua,Manufacturing,1,Middle,Haryana,50.0,2.5,2000.0,1,1.0,60.0,6.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,0,1,0,1,1,0,0,20.0,2.0,0
338,3,NabhiSutra,6,339,22-Jan-24,31-Mar-24,29-Jan-24,Nurturing The Spirit Of Entrepreneurship,Rahul Dua,Beauty/Fashion,2,Middle,Gujarat,60.0,3.0,2000.0,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,,,0
339,3,Zorko,7,340,22-Jan-24,31-Mar-24,30-Jan-24,Diverse Ventures Compete For Sharks' Attention,Rahul Dua,Food and Beverage,2,Young,Gujarat,150.0,1.0,15000.0,1,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,0,0,0,0,0,0,0,,,0
340,3,Tramboo,7,341,22-Jan-24,31-Mar-24,30-Jan-24,Diverse Ventures Compete For Sharks' Attention,Rahul Dua,Fitness/Sports/Outdoors,2,Young,Jammu & Kashmir,30.0,3.0,1000.0,1,1.0,30.0,4.0,750.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,1,0,0,0,1,0,0,15.0,2.0,0
341,3,WeHear,7,342,22-Jan-24,31-Mar-24,30-Jan-24,Diverse Ventures Compete For Sharks' Attention,Rahul Dua,Medical/Health,2,Middle,Gujarat,250.0,1.0,25000.0,1,1.0,250.0,1.0,25000.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,0,0,0,0,1,0,0,250.0,1.0,0
342,3,Tiggle,8,343,22-Jan-24,31-Mar-24,31-Jan-24,Entrepreneurial Innovation,Rahul Dua,Food and Beverage,1,Young,Uttar Pradesh,50.0,5.0,1000.0,1,1.0,50.0,20.0,250.0,2.0,,Azhar Iqubal,1.0,,1.0,,1.0,,1.0,1.0,0,0,0,0,1,0,1,25.0,10.0,0
343,3,WYLDCard,8,344,22-Jan-24,31-Mar-24,31-Jan-24,Entrepreneurial Innovation,Rahul Dua,Technology/Software,3,Middle,Maharashtra,50.0,0.5,10000.0,1,1.0,75.0,1.5,5000.0,1.0,,Azhar Iqubal,1.0,,1.0,,1.0,,1.0,1.0,0,0,0,1,0,0,0,75.0,1.5,0
344,3,upliance.ai,8,345,22-Jan-24,31-Mar-24,31-Jan-24,Entrepreneurial Innovation,Rahul Dua,Lifestyle/Home,2,Middle,Karnataka,100.0,1.0,10000.0,1,0.0,,,,,,Azhar Iqubal,1.0,,1.0,,1.0,,1.0,1.0,0,0,0,0,0,0,0,,,0
345,3,PizzaGalleria,9,346,22-Jan-24,31-Mar-24,01-Feb-24,Entrepreneurial Brilliance,Rahul Dua,Food and Beverage,2,Middle,Haryana,100.0,2.0,5000.0,0,,,,,,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,0,0,0,0,0,0,0,,,0
346,3,AiCars,9,347,22-Jan-24,31-Mar-24,01-Feb-24,Entrepreneurial Brilliance,Rahul Dua,Vehicles/Electrical Vehicles,1,Young,Maharashtra,200.0,4.0,5000.0,0,,,,,,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,0,0,0,0,0,0,0,,,0
347,3,RooftopApp,9,348,22-Jan-24,31-Mar-24,01-Feb-24,Entrepreneurial Brilliance,Rahul Dua,Technology/Software,1,Middle,Maharashtra,200.0,4.0,5000.0,0,,,,,,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,0,0,0,0,0,0,0,,,0
348,3,GoenchiFeni,10,349,22-Jan-24,31-Mar-24,02-Feb-24,Pitching Innovation,Rahul Dua,Liquor/Alcohol,2,Middle,Goa,100.0,5.0,2000.0,1,1.0,200.0,15.0,1333.333333,1.0,Deepinder Goyal,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,0,0,0,0,0,0,0,200.0,15.0,0
349,3,Arata,10,350,22-Jan-24,31-Mar-24,02-Feb-24,Pitching Innovation,Rahul Dua,Beauty/Fashion,2,Middle,Delhi,100.0,1.25,8000.0,1,1.0,100.0,1.33,7518.796992,2.0,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,0,1,1,0,0,0,0,50.0,0.665,0
350,3,Vecros,10,351,22-Jan-24,31-Mar-24,02-Feb-24,Pitching Innovation,Rahul Dua,Technology/Software,2,Young,Delhi,100.0,2.5,4000.0,1,1.0,20.0,1.0,2000.0,1.0,,Deepinder Goyal,1.0,1.0,1.0,1.0,,,,1.0,1,0,0,0,0,0,0,20.0,1.0,0
351,3,GudGum,11,352,22-Jan-24,31-Mar-24,05-Feb-24,Disrupting The Status Quo,Rahul Dua,Food and Beverage,2,Young,Karnataka,50.0,5.0,1000.0,1,1.0,80.0,10.0,800.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,,,1,0,1,1,0,1,0,20.0,2.5,0
352,3,EvaScalp,11,353,22-Jan-24,31-Mar-24,05-Feb-24,Disrupting The Status Quo,Rahul Dua,Medical/Health,1,Middle,Maharashtra,30.0,1.2,2500.0,1,1.0,30.0,1.8,1666.666667,3.0,,,1.0,1.0,1.0,1.0,,1.0,,,1,1,0,0,0,1,0,10.0,0.6,0
353,3,Elitty,11,354,22-Jan-24,31-Mar-24,05-Feb-24,Disrupting The Status Quo,Rahul Dua,Beauty/Fashion,2,Middle,Haryana,100.0,4.0,2500.0,1,0.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,0,0,0,0,0,0,0,,,0
354,3,HoneyTwigs,12,355,22-Jan-24,31-Mar-24,06-Feb-24,Showcase Of Innovation,Rahul Dua,Food and Beverage,3,Middle,Delhi,75.0,3.0,2500.0,1,1.0,75.0,3.0,2500.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,0,0,0,1,1,1,0,25.0,1.0,0
355,3,Koparo,12,356,22-Jan-24,31-Mar-24,06-Feb-24,Showcase Of Innovation,Rahul Dua,Food and Beverage,1,Middle,Delhi,70.0,1.0,7000.0,1,1.0,70.0,1.0,7000.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,1,0,1,0,0,0,0,35.0,0.5,0
356,3,2Ballz,12,357,22-Jan-24,31-Mar-24,06-Feb-24,Showcase Of Innovation,Rahul Dua,Beauty/Fashion,3,Middle,Madhya Pradesh,30.0,5.0,600.0,0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,0,0,0,0,0,0,0,,,0
357,3,JewelBox,13,358,22-Jan-24,31-Mar-24,07-Feb-24,Innovation Unleashed,Rahul Dua,Beauty/Fashion,2,Middle,West Bengal,100.0,2.0,5000.0,1,1.0,200.0,6.0,3333.333333,5.0,Radhika Gupta,Radhika Gupta,,1.0,,1.0,1.0,1.0,,1.0,1,0,1,0,1,1,0,40.0,1.2,0
358,3,DaakRoom,13,359,22-Jan-24,31-Mar-24,07-Feb-24,Innovation Unleashed,Rahul Dua,Business Services,2,Middle,Delhi,36.0,4.0,900.0,1,1.0,36.0,6.0,600.0,1.0,,Radhika Gupta,,1.0,,1.0,1.0,1.0,,1.0,0,0,0,0,0,1,0,36.0,6.0,0
